"2","1"
2,1
4,1
9,1
10,1
12,1
13,1
18,1
20,1
24,1
2,3
4,3
9,3
10,3
12,3
13,3
18,3
20,3
24,3
2,5
4,5
9,5
10,5
12,5
13,5
18,5
20,5
24,5
2,6
4,6
9,6
10,6
12,6
13,6
18,6
20,6
24,6
2,7
4,7
9,7
10,7
12,7
13,7
18,7
20,7
24,7
2,8
4,8
9,8
10,8
12,8
13,8
18,8
20,8
24,8
2,11
4,11
9,11
10,11
12,11
13,11
18,11
20,11
24,11
2,14
4,14
9,14
10,14
12,14
13,14
18,14
20,14
24,14
2,15
4,15
9,15
10,15
12,15
13,15
18,15
20,15
24,15
2,16
4,16
9,16
10,16
12,16
13,16
18,16
20,16
24,16
2,17
4,17
9,17
10,17
12,17
13,17
18,17
20,17
24,17
2,19
4,19
9,19
10,19
12,19
13,19
18,19
20,19
24,19
2,21
4,21
9,21
10,21
12,21
13,21
18,21
20,21
24,21
2,22
4,22
9,22
10,22
12,22
13,22
18,22
20,22
24,22
2,23
4,23
9,23
10,23
12,23
13,23
18,23
20,23
24,23
2,25
4,25
9,25
10,25
12,25
13,25
18,25
20,25
24,25
2,26
4,26
9,26
10,26
12,26
13,26
18,26
20,26
24,26
2,27
4,27
9,27
10,27
12,27
13,27
18,27
20,27
24,27
2,28
4,28
9,28
10,28
12,28
13,28
18,28
20,28
24,28
2,29
4,29
9,29
10,29
12,29
13,29
18,29
20,29
24,29
2,30
4,30
9,30
10,30
12,30
13,30
18,30
20,30
24,30
